City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
129,Thio,NC,85.96,light rain,-21.6167,166.2167,La Ferme de Thio
133,La Palma,US,75.96,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
147,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
152,Lorengau,PG,79.72,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
157,Sao Joao Da Barra,BR,75.58,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
159,Flinders,AU,84.06,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
166,Ambanja,MG,75.07,overcast clouds,-13.6833,48.45,Hotel Salama and Fast Food
174,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
186,Samana,DO,78.76,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
191,Kiama,AU,84.25,few clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
193,Codrington,AU,77.34,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
196,Matamoros,MX,77.11,scattered clouds,25.5333,-103.25,Quinta Belem
203,Kavieng,PG,81.68,light rain,-2.5744,150.7967,Nusa Island Retreat
206,Morondava,MG,80.56,few clouds,-20.2833,44.2833,La Case Bambou
207,Kununurra,AU,82.38,broken clouds,-15.7667,128.7333,Hotel Kununurra
208,Puerto Escondido,MX,79.7,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
214,Guapiles,CR,82.98,scattered clouds,10.2159,-83.7866,Pachira Lodge
215,Ahipara,NZ,75.9,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
216,Grand Gaube,MU,79.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
228,Tadine,NC,81.97,overcast clouds,-21.55,167.8833,
231,Dingle,PH,78.4,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
232,Hithadhoo,MV,81.55,broken clouds,-0.6,73.0833,Scoop Guest House
237,Bontang,ID,77.25,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
238,Batemans Bay,AU,82.98,few clouds,-35.7167,150.1833,Batemans Bay Marina Resort
241,Karratha,AU,89.08,broken clouds,-20.7377,116.8463,ibis Styles Karratha
242,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
253,Port Keats,AU,83.43,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
259,Porto Belo,BR,75.15,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
269,Guasdualito,VE,87.8,scattered clouds,7.2424,-70.7324,Hotel Cuibas
273,Domoni,KM,78.6,few clouds,-12.2569,44.5319,Al Djadid
275,Miranda,CO,77.13,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
278,Jizan,SA,76.14,scattered clouds,17.3333,42.6667,شهدان. ابوالحجر
281,Hambantota,LK,75.58,few clouds,6.1241,81.1185,Bungalow 63
284,Nieuw Amsterdam,SR,80.62,few clouds,5.8833,-55.0833,Hotel Stardust
285,Sinnamary,GF,76.26,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
287,Ixtapa,MX,75.22,clear sky,20.7,-105.2,Hotel Plaza Providencia
292,Poum,NC,80.49,overcast clouds,-20.2333,164.0167,Gîte kajeon
294,Bengkulu,ID,75.85,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
295,Caravelas,BR,79.41,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
297,San Julian,MX,75.2,clear sky,21.0167,-102.1667,La Nueva España
298,Muli,MV,82.0,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
300,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
302,Tautira,PF,86.02,overcast clouds,-17.7333,-149.15,Pension Oaoa
303,Sandakan,MY,76.68,scattered clouds,5.8402,118.1179,Hotel Sandakan
305,Salaga,GH,80.65,broken clouds,8.5508,-0.5188,Bore Nada Guest House
314,The Valley,AI,78.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
316,Oistins,BB,77.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
319,Reconquista,AR,79.23,clear sky,-29.15,-59.65,Grand Hotel
331,Kensington,AU,82.63,broken clouds,-33.9167,151.2167,Meriton Suites Zetland
333,Atambua,ID,77.43,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
337,Mount Isa,AU,78.57,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
338,Kerema,PG,79.11,overcast clouds,-7.9631,145.7785,Frena Lodge
348,Sulangan,PH,80.82,broken clouds,11.1373,123.7228,Maia's Beach Resort
352,Sumenep,ID,79.45,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
354,Sabang,ID,81.16,overcast clouds,5.8933,95.3214,Hotel Citra
357,Oranjestad,AW,78.62,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
362,Touros,BR,79.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
363,Sola,VU,83.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
365,Corowa,AU,83.57,clear sky,-36.0333,146.3833,Statesman Motor Inn
367,Kieta,PG,84.99,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
369,Saint-Pierre,RE,76.68,few clouds,-21.3393,55.4781,Lindsey Hôtel
370,Alyangula,AU,84.07,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
375,Maumere,ID,81.3,overcast clouds,-8.6199,122.2111,Sylvia Hotel
378,Mahina,PF,85.77,broken clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
383,Palmira,CO,78.28,broken clouds,3.5394,-76.3036,Hotel Las Victorias
388,Lhokseumawe,ID,75.4,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
391,Gamba,GA,77.67,overcast clouds,-2.65,10.0,
392,Vila Velha,BR,78.94,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
400,Kalmunai,LK,76.06,scattered clouds,7.4167,81.8167,VS Villa
406,Meulaboh,ID,76.03,broken clouds,4.1363,96.1285,Kost Pria
407,Port Hedland,AU,86.05,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
410,Maracaibo,VE,78.13,clear sky,10.6317,-71.6406,Motel Aladdin
412,Kirakira,SB,83.95,overcast clouds,-10.4544,161.9205,SanBiz Lodge
417,Winneba,GH,81.07,overcast clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
420,Coahuayana,MX,81.95,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
421,Maningrida,AU,79.95,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
425,Manalongon,PH,79.99,clear sky,9.2209,122.886,Salop sa Payag
443,Nieves,PH,76.26,broken clouds,15.3274,120.9485,Bill's Inn
445,Hervey Bay,AU,88.03,few clouds,-25.2986,152.8535,Shelly Bay Resort
456,Trairi,BR,77.41,overcast clouds,-3.2778,-39.2689,janelas do mar
458,Bundaberg,AU,88.21,broken clouds,-24.85,152.35,Takalvan Motel
459,Salinopolis,BR,76.87,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
463,Acapulco,MX,81.36,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
470,Boa Vista,BR,87.78,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
473,Mareeba,AU,86.32,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
487,Dhidhdhoo,MV,81.18,scattered clouds,6.8833,73.1,Dhidhoo beach
493,Ewa Beach,US,80.55,broken clouds,21.3156,-158.0072,Uncle Junior Robert
495,Mayumba,GA,76.64,light rain,-3.432,10.6554,LIKWALE LODGE
500,Phangnga,TH,84.9,broken clouds,8.4509,98.5298,Sunimit Mansion
502,Guanica,PR,79.23,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
506,Muisne,EC,76.46,light rain,0.6,-80.0333,Quinta Samay
511,Champerico,GT,86.54,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
513,Isabela,PH,77.05,few clouds,6.7085,121.9711,Isawad Resort
521,Isangel,VU,82.51,overcast clouds,-19.55,169.2667,Tanna Lodge
522,Banda Aceh,ID,76.42,broken clouds,5.5577,95.3222,Sulthan Hotel International
526,Cockburn Town,TC,75.16,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
530,Camocim,BR,76.51,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
538,Itarema,BR,77.65,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
542,Waingapu,ID,81.23,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
543,Makakilo City,US,79.12,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
544,Alegrete,BR,77.23,clear sky,-29.7831,-55.7919,Hotel Alegrete
548,Boyolangu,ID,77.94,overcast clouds,-8.1181,111.8935,Yos ega cv
554,Faanui,PF,80.98,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
560,General Pico,AR,78.69,clear sky,-35.6566,-63.7568,Euskadi Hotel
566,Quatre Cocos,MU,78.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
567,Biak,ID,80.17,overcast clouds,-0.9131,122.8766,Penginapan Kim
570,Merauke,ID,83.03,overcast clouds,-8.4667,140.3333,
575,Cabedelo,BR,79.47,clear sky,-6.9811,-34.8339,Hotel Pigalle
584,Lodwar,KE,81.05,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
586,Saint-Joseph,RE,75.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
587,Kahului,US,78.67,clear sky,20.8947,-156.47,Maui Seaside Hotel
588,Aden,YE,76.46,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
589,Manggar,ID,79.34,broken clouds,-2.8833,108.2667,Guest Hotel
590,Puntarenas,CR,85.93,scattered clouds,9.9763,-84.8384,Michael's Surfside Hotel
591,Majene,ID,80.19,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
599,Santo Amaro,BR,84.24,scattered clouds,-12.5467,-38.7119,Hotel da Purificação
610,Neuquen,AR,76.89,clear sky,-38.9516,-68.0591,Hotel del Comahue
611,Kimbe,PG,81.99,light rain,-5.5502,150.1429,Kimbe Bay Hotel
612,Buala,SB,85.28,light rain,-8.145,159.5921,Maringe Lagoon Lodge
614,Nisia Floresta,BR,79.61,few clouds,-6.0911,-35.2086,Rancho Crepusculo
